Obersparte,Untersparte,Sparten-Nr
Schulbücher,Alte Schulbücher,886
Schulbücher,Bücher für Lehrer,887
Schulbücher,DDR-Schulbücher,881
Schulbücher,Deutsch für Ausländer,880
Schulbücher,Erwachsenenbildung,1806
Schulbücher,Grundschule,873
Schulbücher,"Hauptschule, Sonstiges",879
Schulbücher,"Realschule, Sonstiges",878
Schulbücher,"Gymnasium, Sonstiges",877
Schulbücher,Sonderschule,884
Schulbücher,Handelsschule,883
Schulbücher,Berufsschule,693
Schulbücher,Meisterschule,885
Schulbücher,Deutsch (Schulbuch),665
Schulbücher,Englisch (Schulbuch),666
Schulbücher,Französisch (Schulbuch),667
Schulbücher,Griechisch (Schulbuch),960
Schulbücher,Latein (Schulbuch),668
Schulbücher,Russisch (Schulbuch),798
Schulbücher,Mathematik (Schulbuch),669
Schulbücher,Physik (Schulbuch),670
Schulbücher,Chemie (Schulbuch),671
Schulbücher,Biologie (Schulbuch),672
Schulbücher,Erdkunde (Schulbuch),673
Schulbücher,Geschichte/Politik (Schulbuch),674
Schulbücher,Philosophie (Schulbuch),1211
Schulbücher,Religion/Ethik (Schulbuch),675
Schulbücher,Sozialkunde (Schulbuch),874
Schulbücher,Musik (Schulbuch),875
Schulbücher,Kunst (Schulbuch),876
Schulbücher,Telekolleg,882
Schulbücher,Sonstiges - Schulbücher,680
Design/Künste/Film,Architektur/Städte (Bildband),1279
Design/Künste/Film,Auktionskataloge,1816
Design/Künste/Film,Ausstellungskataloge,840
Design/Künste/Film,Audiovisuelle Medien,41
Design/Künste/Film,Bildhauerei / Plastik,65
Design/Künste/Film,Bühnenbild,81
Design/Künste/Film,Design allgemein,1286
Design/Künste/Film,Film,128
Design/Künste/Film,Filmwissenschaft,129
Design/Künste/Film,Film-Zeitschriften,780
Design/Künste/Film,Firmenkataloge,824
Design/Künste/Film,Fotografie,134
Design/Künste/Film,Glasgestaltung,172
Design/Künste/Film,Goldschmiedekunst,173
Design/Künste/Film,Grafik-Design,175
Design/Künste/Film,Holzgestaltung,192
Design/Künste/Film,Keramik,240
Design/Künste/Film,Kommunikationsdesign,245
Design/Künste/Film,Kunst allgemein,1285
Design/Künste/Film,Kunst (Bildband),1282
Design/Künste/Film,Kunstgeschichte,273
